n,max_v,max_w,ffv,onDuration,PosX0,PosY0,PosZ0,RotX0,RotY0,RotZ0,RotW0,ffX0,ffY0,ffZ0,ffX1,ffY1,ffZ1,pCheckX0,pCheckY0,pCheckZ0,pCheckX1,pCheckY1,pCheckZ1,rCheckX0,rCheckY0,rCheckZ0,rCheckW0,rCheckX1,rCheckY1,rCheckZ1,rCheckW1,distToFF0,distToFF1,rewarded,timeout,beginTime,checkTime0,checkTime1,endTime,checkWait,interWait
1,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-3.46326,0.00010,12.27654,-4.13473,0.00010,20.96667,-3.36462,1.00000,11.74060,-4.20630,1.00000,23.80821,0.00000,-0.27232,0.00000,0.96221,0.00000,0.26778,0.00000,0.96348,0.5449388,2.84245,1,0,0.3159332,1.50449,2.46429,2.46431,0.3398839,0.5074768
2,20,90,0,3.872299,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,6.19025,0.00010,11.23754,-4.44552,0.00010,30.14530,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,21.87636,1.209006,0,0,2.892197,0.00000,0.00000,6.764496,0.359614,0.4471506
3,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,6.19025,0.00010,11.23754,-4.44552,0.00010,30.14530,0.07832,1.00000,9.30314,-22.21412,1.00000,15.43228,0.00000,0.00746,0.00000,0.99997,0.00000,-0.95059,0.00000,0.31046,4.179075,14.85669,0,0,7.14769,8.51343,0.00000,9.950775,0.2604858,0.5190467
4,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,3.76822,0.00010,11.26511,-9.81187,0.00010,23.61186,4.36382,1.00000,7.65132,0.35836,1.00000,29.96867,0.00000,0.43416,0.00000,0.90084,0.00000,-0.58920,0.00000,0.80798,4.018876,7.979151,0,0,10.3943,11.53012,0.00000,12.97334,0.3651304,0.5107262
5,20,90,0,0.15,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,5.89979,0.00010,11.36510,7.13630,0.00010,25.75840,1.51724,1.00000,12.60566,18.30167,1.00000,27.98101,0.00000,0.03003,0.00000,0.99955,0.00000,0.51692,0.00000,0.85603,2.250596,15.63657,0,0,13.40219,14.59097,0.00000,15.88696,0.3048782,0.5764478
6,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-0.35492,0.00010,13.85474,4.10593,0.00010,34.53717,-0.55705,1.00000,11.14221,-7.82815,1.00000,38.01990,0.00000,-0.05952,0.00000,0.99823,0.00000,-0.15780,0.00000,0.98747,1.447882,11.61745,0,0,16.37489,17.42529,0.00000,18.90804,0.223187,0.4604748
7,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-1.54203,0.00010,12.20343,-2.24791,0.00010,27.83039,0.91304,1.00000,8.19787,2.83375,1.00000,28.20784,0.00000,0.10519,0.00000,0.99445,0.00000,0.03182,0.00000,0.99949,3.665789,3.220162,1,0,19.29213,20.24254,21.40271,21.40273,0.3067615,0.5195647
8,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,3.33781,0.00010,10.94714,5.98480,0.00010,28.87139,3.01716,1.00000,12.11608,-17.57429,1.00000,11.93303,0.00000,0.28004,0.00000,0.95999,0.00000,-0.94280,0.00000,0.33335,2.005709,14.78335,0,0,21.82948,22.87852,0.00000,24.74182,0.2258668,0.5811973
9,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,4.95461,0.00010,11.59728,-17.09785,0.00010,26.70870,6.37511,1.00000,10.93947,1.14411,1.00000,26.61257,0.00000,0.46951,0.00000,0.88293,0.00000,-0.69960,0.00000,0.71454,1.263917,5.768295,1,0,25.22769,26.37766,27.94795,27.94797,0.2847075,0.455761
10,20,90,0,2.271927,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,6.01651,0.00010,12.15145,5.42136,0.00010,22.74238,-2.04285,1.00000,8.07271,-17.73465,1.00000,27.33456,0.00000,-0.27412,0.00000,0.96170,0.00000,-0.39429,0.00000,0.91899,2.029432,1.034855,1,0,28.3298,29.29146,30.62010,30.62012,0.1516659,0.4252519
11,20,90,0,2.290314,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-2.56075,0.00010,6.11047,-17.69792,0.00010,28.36877,-0.63636,1.00000,11.67992,-10.34414,1.00000,14.59084,0.00000,-0.07355,0.00000,0.99729,0.00000,-0.93963,0.00000,0.34220,2.948928,3.984453,1,0,30.99074,32.09630,33.46010,33.46011,0.1886176,0.5163894
