n,max_v,max_w,ffv,onDuration,PosX0,PosY0,PosZ0,RotX0,RotY0,RotZ0,RotW0,ffX0,ffY0,ffZ0,ffX1,ffY1,ffZ1,pCheckX0,pCheckY0,pCheckZ0,pCheckX1,pCheckY1,pCheckZ1,rCheckX0,rCheckY0,rCheckZ0,rCheckW0,rCheckX1,rCheckY1,rCheckZ1,rCheckW1,distToFF0,distToFF1,rewarded,timeout,beginTime,checkTime0,checkTime1,endTime,checkWait,interWait
11,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-3.76298,0.00010,12.54190,5.91912,0.00010,39.35566,-2.56845,1.00000,11.20931,4.83220,1.00000,38.68852,0.00000,-0.21162,0.00000,0.97735,0.00000,0.30645,0.00000,0.95189,1.789608,1.275333,1,0,45.98526,47.41858,49.89504,49.89504,0.2255454,0.4553568
12,20,90,0,0.15,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,3.07667,0.00010,5.62088,9.96982,0.00010,30.82366,1.88298,1.00000,6.88637,12.76807,1.00000,39.65895,0.00000,0.26881,0.00000,0.96319,0.00000,0.11997,0.00000,0.99278,1.739643,9.26782,0,0,50.55236,51.60234,0.00000,54.42318,0.1308361,0.4632002
13,20,90,0,0.15,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,3.34744,0.00010,8.32460,13.44190,0.00010,31.42081,3.05722,1.00000,8.41904,18.07618,1.00000,34.29788,0.00000,0.33475,0.00000,0.94231,0.00000,0.19833,0.00000,0.98014,0.3051962,5.454734,1,0,55.13915,56.33029,58.70222,58.70223,0.1033326,0.4301327
14,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,6.45490,0.00010,12.44658,1.01559,0.00010,26.77044,4.38213,1.00000,7.19389,5.68692,1.00000,30.27143,0.00000,0.42956,0.00000,0.90304,0.00000,-0.23582,0.00000,0.97180,5.646863,5.837658,1,0,59.29869,60.73475,62.78937,62.78938,0.1109019,0.5049591
15,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.74114,0.00010,11.65285,-9.73625,0.00010,24.78603,0.13693,1.00000,9.20966,-11.02673,1.00000,28.75930,0.00000,0.01633,0.00000,0.99987,0.00000,-0.46671,0.00000,0.88441,2.516789,4.177589,1,0,63.54445,64.90849,66.89146,66.89148,0.1052215,0.4195112
16,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-2.93859,0.00010,6.90779,-14.39220,0.00010,31.62620,-2.16678,1.00000,8.45263,-20.33079,1.00000,36.42814,0.00000,-0.24429,0.00000,0.96970,0.00000,-0.24787,0.00000,0.96879,1.726912,7.637113,0,0,67.37596,68.63087,0.00000,71.31859,0.1962691,0.4659068
17,20,90,0,0.15,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,2.51389,0.00010,8.68185,14.87438,0.00010,33.35035,3.16901,1.00000,10.62615,22.19803,1.00000,35.60461,0.00000,0.30228,0.00000,0.95322,0.00000,0.32457,0.00000,0.94586,2.051713,7.662736,0,0,71.95021,73.19066,0.00000,75.79903,0.1326572,0.4444745
18,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-0.25653,0.00010,14.94422,15.19059,0.00010,28.52765,0.00240,1.00000,12.77190,22.18161,1.00000,36.41939,0.00000,0.00435,0.00000,0.99999,0.00000,0.42209,0.00000,0.90655,2.187697,10.54295,0,0,76.30072,77.69437,0.00000,80.19814,0.1027322,0.5750837
19,20,90,0,0.15,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-5.67827,0.00010,10.20752,-16.83500,0.00010,30.23406,-4.89457,1.00000,11.45248,-21.53121,1.00000,34.48970,0.00000,-0.35113,0.00000,0.93633,0.00000,-0.26366,0.00000,0.96462,1.471087,6.337569,1,0,81.03754,82.49130,84.67906,84.67906,0.380573,0.4938192
20,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,2.00840,0.00010,8.50018,-9.20762,0.00010,22.18623,1.70892,1.00000,8.79802,-13.56124,1.00000,26.79536,0.00000,0.18519,0.00000,0.98270,0.00000,-0.77457,0.00000,0.63249,0.4223692,6.340204,1,0,85.3837,86.51172,88.65630,88.65631,0.1566719,0.5586603
21,20,90,0,3.235012,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-0.26466,0.00010,13.76994,-1.35113,0.00010,33.43085,0.00006,1.00000,12.04948,-0.57706,1.00000,27.57352,0.00000,0.00018,0.00000,1.00000,0.00000,-0.03634,0.00000,0.99934,1.740707,5.90826,1,0,89.40193,90.68790,92.11565,92.11565,0.1122427,0.4540803
22,20,90,0,3.272614,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,3.26020,0.00010,12.12728,-8.09009,0.00010,21.24127,2.46270,1.00000,10.15982,-9.91293,1.00000,29.15509,0.00000,0.20869,0.00000,0.97798,0.00000,-0.59173,0.00000,0.80613,2.122947,8.121039,0,0,92.77667,94.15477,0.00000,96.27148,0.2123809,0.4688934
23,20,90,0,0.15,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-4.31611,0.00010,9.67942,4.99547,0.00010,24.11415,-2.51106,1.00000,7.97269,3.40884,1.00000,28.12229,0.00000,-0.28076,0.00000,0.95978,0.00000,0.40059,0.00000,0.91626,2.484183,4.31075,1,0,96.89638,98.21756,100.22670,100.2267,0.2047534,0.4768978
24,20,90,0,0.15,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-3.91169,0.00010,11.30005,-7.11197,0.00010,37.58391,-2.03227,1.00000,9.58081,-4.63908,1.00000,32.73143,0.00000,-0.13984,0.00000,0.99017,0.00000,-0.00342,0.00000,0.99999,2.547153,5.446263,1,0,100.9273,102.27920,104.20950,104.2096,0.3183504,0.4572459
25,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-2.33493,0.00010,10.51453,-6.75450,0.00010,34.07830,-1.61180,1.00000,10.99487,-5.27043,1.00000,35.61839,0.00000,-0.09615,0.00000,0.99537,0.00000,-0.06203,0.00000,0.99807,0.8681325,2.138765,1,0,104.9306,106.38030,108.48370,108.4837,0.2214453,0.5699759
26,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,4.03342,0.00010,10.45271,-4.54875,0.00010,33.47968,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,22.91882,1.840798,0,0,109.3168,0.00000,0.00000,112.5446,0.3082028,0.5536635
27,20,90,0,0.15,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,4.03342,0.00010,10.45271,-4.54875,0.00010,33.47968,1.08457,1.00000,11.92631,-14.44333,1.00000,33.48014,0.00000,0.08113,0.00000,0.99670,0.00000,-0.49045,0.00000,0.87147,2.779203,3.61991,1,0,113.322,114.71630,117.05480,117.0548,0.1145594,0.4849691
28,20,90,0,3.227875,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,3.00789,0.00010,13.93250,-14.26385,0.00010,29.86468,-3.70378,1.00000,11.50903,-18.15060,1.00000,30.86322,0.00000,-0.30301,0.00000,0.95299,0.00000,-0.33250,0.00000,0.94310,1.629322,10.74679,0,0,117.7975,119.35330,0.00000,121.1737,0.1679489,0.4599571
29,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-5.31905,0.00010,11.29555,-10.22223,0.00010,38.11818,-3.82815,1.00000,12.07292,-14.57073,1.00000,23.98870,0.00000,-0.29712,0.00000,0.95484,0.00000,-0.42323,0.00000,0.90602,2.046942,0.9633589,1,0,121.8573,123.44010,124.90580,124.9058,0.1725827,0.4868916
30,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-5.78415,0.00010,11.46954,-14.38760,0.00010,24.93449,-1.36713,1.00000,9.66132,8.12308,1.00000,32.40904,0.00000,-0.13114,0.00000,0.99136,0.00000,0.38378,0.00000,0.92342,5.238366,0.1000246,1,0,125.5823,126.93800,129.10130,129.1013,0.1841648,0.424702
31,20,90,0,3.007496,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-4.05176,0.00010,14.15947,8.16513,0.00010,32.31828,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,14.88045,11.9754,0,0,129.7839,0.00000,0.00000,132.4352,0.1070589,0.4418547
32,20,90,0,3.048538,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,3.25803,0.00010,11.33593,-10.88039,0.00010,23.96906,0.00000,1.00000,7.74609,3.20101,1.00000,26.72883,0.00000,0.00000,0.00000,1.00000,0.00000,0.12739,0.00000,0.99185,2.130243,1.650665,1,0,133.0017,134.01180,135.81280,135.8128,0.2795939,0.4555032
33,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.08708,0.00010,5.91410,3.13427,0.00010,28.37815,3.76706,1.00000,12.97751,17.32322,1.00000,32.33421,0.00000,0.26284,0.00000,0.96484,0.00000,0.31086,0.00000,0.95046,1.161209,5.119157,1,0,136.4891,137.97990,139.99760,139.9976,0.1805144,0.5386018
34,20,90,0,0.15,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,2.92487,0.00010,12.17807,14.24734,0.00010,36.42624,4.17291,1.00000,9.77064,0.64258,1.00000,33.42958,0.00000,0.38878,0.00000,0.92133,0.00000,-0.32508,0.00000,0.94569,2.181746,3.217611,1,0,140.7915,142.20970,144.46360,144.4636,0.3260534,0.5994479
35,20,90,0,0.15,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,5.15190,0.00010,11.72041,-1.95506,0.00010,35.32834,-1.66848,1.00000,7.55607,13.87387,1.00000,38.74539,0.00000,-0.19043,0.00000,0.98170,0.00000,0.36464,0.00000,0.93115,1.704514,2.387408,1,0,145.2297,146.38490,149.21710,149.2171,0.1252141,0.5010908
36,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-3.35850,0.00010,7.33424,11.53489,0.00010,38.26698,2.14719,1.00000,9.97686,13.42554,1.00000,37.84557,0.00000,0.19106,0.00000,0.98158,0.00000,0.19353,0.00000,0.98109,2.020458,11.91979,0,0,149.8634,151.11540,0.00000,153.5257,0.126516,0.4850878
