n,max_v,max_w,ffv,onDuration,PosX0,PosY0,PosZ0,RotX0,RotY0,RotZ0,RotW0,ffX0,ffY0,ffZ0,ffX1,ffY1,ffZ1,pCheckX0,pCheckY0,pCheckZ0,pCheckX1,pCheckY1,pCheckZ1,rCheckX0,rCheckY0,rCheckZ0,rCheckW0,rCheckX1,rCheckY1,rCheckZ1,rCheckW1,distToFF0,distToFF1,rewarded,timeout,beginTime,checkTime0,checkTime1,endTime,checkWait,interWait
1,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-2.56035,0.00010,14.62023,1.14542,0.00010,17.63912,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,14.84272,17.67627,0,1,0.3272858,0.00000,0.00000,8.229259,0,0.5969042
2,20,90,0,0.15,-0.01016993,1.00000000,2.07317700,0.00000000,-0.00597545,0.00000000,0.99998210,3.53187,0.00010,15.21126,5.43271,0.00010,28.10663,1.94414,1.00000,18.22055,5.83739,1.00000,13.54346,0.00000,0.03462,0.00000,0.99940,0.00000,-0.64859,0.00000,0.76114,3.402456,14.56878,0,0,9.275745,12.68582,0.00000,16.57072,0.1471388,0.4365977
3,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,2.49781,0.00010,14.10365,-9.64103,0.00010,23.46281,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,6.802066,19.14641,0,0,17.13211,0.00000,0.00000,18.39822,0.2071834,0.4907909
4,20,90,0,0.075,-2.44096900,1.00000000,6.30303600,0.00000000,-0.33120730,0.00000000,0.94355810,-12.16090,0.00010,17.01890,-19.24585,0.00010,42.29330,-10.54460,1.00000,14.12844,-13.70445,1.00000,23.55651,0.00000,-0.34896,0.00000,0.93714,0.00000,0.05308,0.00000,0.99859,3.311675,19.53905,0,0,19.04308,21.44802,0.00000,22.56777,0.3964759,0.4566514
5,20,90,0,0.15,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-4.09179,0.00010,11.71158,-4.98657,0.00010,38.25421,-3.67939,1.00000,11.21644,-3.44137,1.00000,25.37594,0.00000,-0.28257,0.00000,0.95925,0.00000,0.09147,0.00000,0.99581,0.644388,12.97064,0,0,23.25178,24.81261,0.00000,26.46313,0.21881,0.5131413
6,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-1.32923,0.00010,13.77794,0.63857,0.00010,36.69617,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,6.546247,29.45573,0,0,27.05,0.00000,0.00000,28.29382,0.2937002,0.4325406
7,20,90,0,0.075,0.04324164,1.00000000,3.80309100,0.00000000,0.00758759,0.00000000,0.99997120,1.10562,0.00010,18.13505,-11.42553,0.00010,29.74614,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,12.30764,14.964,0,0,28.91576,0.00000,0.00000,32.19341,0.2274404,0.5732993
8,20,90,0,4.828156,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.98886,0.00010,12.92370,-16.32534,0.00010,36.30637,0.75172,1.00000,13.15478,-16.14544,1.00000,35.86162,0.00000,0.01777,0.00000,0.99984,0.00000,-0.36306,0.00000,0.93177,0.3311056,0.4797503,1,0,33.02557,35.31079,37.88061,37.88062,0.3799668,0.486978
9,20,90,0,4.855049,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,2.26920,0.00010,9.23309,-7.10117,0.00010,28.85352,0.60137,1.00000,6.29455,-7.33401,1.00000,27.95309,0.00000,0.09526,0.00000,0.99545,0.00000,-0.31635,0.00000,0.94864,3.378856,0.9300423,1,0,38.46729,39.58998,41.74209,41.74212,0.2011757,0.4450379
10,20,90,0,0.15,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-4.32861,0.00010,13.90556,-7.48997,0.00010,19.54431,-4.74569,1.00000,14.53386,-9.46572,1.00000,23.33034,0.00000,-0.24376,0.00000,0.96984,0.00000,-0.24376,0.00000,0.96984,0.754132,4.270549,1,0,42.37704,44.10881,45.41977,45.41977,0.3864686,0.5129189
