n,max_v,max_w,ffv,onDuration,PosX0,PosY0,PosZ0,RotX0,RotY0,RotZ0,RotW0,ffX0,ffY0,ffZ0,ffX1,ffY1,ffZ1,pCheckX0,pCheckY0,pCheckZ0,pCheckX1,pCheckY1,pCheckZ1,rCheckX0,rCheckY0,rCheckZ0,rCheckW0,rCheckX1,rCheckY1,rCheckZ1,rCheckW1,distToFF0,distToFF1,rewarded,timeout,beginTime,checkTime0,checkTime1,endTime,checkWait,interWait
1,20,90,0,3.075127,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,13.46018,0.00010,25.33365,6.84208,0.00010,36.77778,13.00539,1.00000,25.17505,5.50489,1.00000,37.03485,0.00000,0.22827,0.00000,0.97360,0.00000,-0.53829,0.00000,0.84276,0.4816489,1.361678,1,0,0.3167038,2.28112,3.40909,3.409103,0.275704,0.4260422
2,20,90,0,3.0924,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,8.89006,0.00010,27.10316,3.43349,0.00010,35.50922,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,8.897017,17.39724,0,0,3.78611,0.00000,0.00000,5.3536,0.2411951,0.590829
3,20,90,0,0.075,-0.61657200,1.00000000,1.56931700,0.00000000,-0.27529710,0.00000000,0.96135930,-1.30740,0.00010,24.58031,-22.08800,0.00010,35.21904,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,19.61317,31.74935,0,1,5.849304,0.00000,0.00000,10.54082,0.1472558,0.4720944
4,20,90,0,0.15,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-11.82175,0.00010,25.94320,-11.78459,0.00010,31.59152,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,28.5097,33.71796,0,1,10.94577,0.00000,0.00000,15.05804,0,0.5476517
5,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,3.74517,0.00010,29.25429,18.46358,0.00010,34.74251,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,8.534707,21.65161,0,0,15.51523,0.00000,0.00000,17.18327,0,0.4779039
6,20,90,0,0.075,0.44732730,1.00000000,2.82370200,0.00000000,0.14986310,0.00000000,0.98870680,6.22482,0.00010,29.21305,-2.05031,0.00010,37.23737,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,19.89606,30.57906,0,1,17.5805,0.00000,0.00000,22.62714,0.2205761,0.5831922
7,20,90,0,0.15,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-0.24859,0.00010,17.76770,10.24130,0.00010,29.08236,0.03677,1.00000,16.23813,13.71885,1.00000,26.36267,0.00000,0.00155,0.00000,1.00000,0.00000,0.91509,0.00000,0.40324,1.555965,4.414762,1,0,23.11223,24.44088,26.07144,26.07145,0,0.47474
8,20,90,0,0.15,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-0.60606,0.00010,19.03091,8.95656,0.00010,35.22932,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,19.04056,36.35004,0,1,26.47362,0.00000,0.00000,30.6366,0.2063377,0.5156364
9,20,90,0,0.15,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,9.59330,0.00010,25.55074,11.65387,0.00010,28.63262,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,7.652969,10.95911,0,0,31.0686,0.00000,0.00000,32.64117,0.1275266,0.434227
