n,max_v,max_w,ffv,onDuration,PosX0,PosY0,PosZ0,RotX0,RotY0,RotZ0,RotW0,ffX0,ffY0,ffZ0,ffX1,ffY1,ffZ1,pCheckX0,pCheckY0,pCheckZ0,pCheckX1,pCheckY1,pCheckZ1,rCheckX0,rCheckY0,rCheckZ0,rCheckW0,rCheckX1,rCheckY1,rCheckZ1,rCheckW1,distToFF0,distToFF1,rewarded,timeout,beginTime,checkTime0,checkTime1,endTime,checkWait,interWait
1,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,5.82225,0.00010,11.03710,-12.36157,0.00010,30.47055,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,10.41205,30.66222,0,0,0.3293266,0.00000,0.00000,4.117213,0.3996098,0.4262607
2,20,90,0,0.15,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,4.05377,0.00010,10.64364,-1.61005,0.00010,35.62440,2.69921,1.00000,8.74198,1.02024,1.00000,35.54330,0.00000,0.28894,0.00000,0.95735,0.00000,-0.13599,0.00000,0.99071,2.334765,2.631545,1,0,4.795766,6.16983,8.30234,8.302346,0.2779386,0.5994123
3,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,4.65194,0.00010,8.11481,-8.60290,0.00010,36.22116,2.46480,1.00000,7.55307,-8.22000,1.00000,40.00201,0.00000,0.30518,0.00000,0.95230,0.00000,-0.30122,0.00000,0.95355,2.258124,3.800184,1,0,9.081328,10.16798,12.90168,12.90169,0.1652133,0.4466561
4,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.07138,0.00010,10.20576,-16.92374,0.00010,31.84047,0.47156,1.00000,8.86536,-18.12986,1.00000,36.50853,0.00000,0.05763,0.00000,0.99834,0.00000,-0.37078,0.00000,0.92872,1.468482,4.821354,1,0,13.59498,14.76038,17.42043,17.42043,0.1606088,0.4969009
5,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-1.09308,0.00010,13.13603,9.56346,0.00010,25.37009,0.06363,1.00000,10.28814,11.32191,1.00000,26.24252,0.00000,0.01376,0.00000,0.99991,0.00000,0.44568,0.00000,0.89519,3.073838,1.962983,1,0,18.06351,19.35348,21.13349,21.1335,0.1623715,0.5581797
6,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-2.70920,0.00010,10.68014,-15.53530,0.00010,33.20311,-2.40317,1.00000,10.49831,-15.87350,1.00000,34.49580,0.00000,-0.19374,0.00000,0.98105,0.00000,-0.29875,0.00000,0.95433,0.3559666,1.336206,1,0,21.9739,23.40868,25.69352,25.69353,0.2930933,0.4807233
7,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.48330,0.00010,9.38053,3.41149,0.00010,26.60924,0.99546,1.00000,10.05480,5.04500,1.00000,29.67138,0.00000,0.10161,0.00000,0.99482,0.00000,0.10161,0.00000,0.99482,0.8467324,3.470595,1,0,26.43474,27.77120,29.49739,29.4974,0.1153435,0.5417811
8,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-1.66941,0.00010,12.65759,15.19168,0.00010,33.43019,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,12.7672,36.72009,0,1,30.3052,0.00000,0.00000,37.27005,0.2962303,0.442425
