n,max_v,max_w,ffv,onDuration,PosX0,PosY0,PosZ0,RotX0,RotY0,RotZ0,RotW0,ffX0,ffY0,ffZ0,ffX1,ffY1,ffZ1,pCheckX0,pCheckY0,pCheckZ0,pCheckX1,pCheckY1,pCheckZ1,rCheckX0,rCheckY0,rCheckZ0,rCheckW0,rCheckX1,rCheckY1,rCheckZ1,rCheckW1,distToFF0,distToFF1,rewarded,timeout,beginTime,checkTime0,checkTime1,endTime,checkWait,interWait
1,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,5.11253,0.00010,13.97913,-3.91905,0.00010,28.34298,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,10.45205,23.36173,0,0,0.3205624,0.00000,0.00000,4.509647,0.3398602,0.463326
2,20,90,0,0.15,0.01124859,1.00000000,0.71309290,0.00000000,0.01998245,0.00000000,0.99980040,1.60529,0.00010,14.21835,18.61822,0.00010,33.28397,4.12687,1.00000,19.33426,6.82758,1.00000,20.32027,0.00000,0.53390,0.00000,0.84555,0.00000,0.60395,0.00000,0.79702,5.703578,17.5236,0,0,5.003891,12.12553,0.00000,12.78359,0.1465111,0.478777
3,20,90,0,0.075,-0.00082173,1.00000000,3.84638800,0.00000000,-0.00011229,0.00000000,1.00000000,-2.09679,0.00010,15.69106,12.99107,0.00010,38.02413,-2.86537,1.00000,15.76767,9.12267,1.00000,37.69727,0.00000,-0.27776,0.00000,0.96065,0.00000,0.08772,0.00000,0.99615,0.7723811,3.882189,1,0,13.56196,15.31588,18.93038,18.93038,0.1208067,0.5382783
4,20,90,0,0.075,-0.00016543,1.00000000,0.05453379,0.00000000,-0.00285540,0.00000000,0.99999590,-2.43352,0.00010,13.24677,9.55465,0.00010,30.30145,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,9.241239,11.61668,0,0,19.74712,0.00000,0.00000,25.24427,0.3880433,0.4321459
5,20,90,0,0.075,-0.25563250,1.00000000,4.26034300,0.00000000,-0.03204957,0.00000000,0.99948630,-2.71634,0.00010,11.62757,-15.43619,0.00010,41.05215,-1.46058,1.00000,13.53291,-2.60624,1.00000,14.74010,0.00000,-0.29392,0.00000,0.95583,0.00000,-0.46788,0.00000,0.88379,2.281944,29.2734,0,0,25.7269,28.05264,0.00000,28.63009,0.2149222,0.5045236
6,20,90,0,0.15,0.00691726,1.00000000,0.02470992,0.00000000,0.11079170,0.00000000,0.99384370,-2.43496,0.00010,11.50784,6.59295,0.00010,27.04218,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,18.77449,8.823637,0,0,29.2214,0.00000,0.00000,33.77804,0.3471143,0.5470151
7,20,90,0,7.448366,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,4.84459,0.00010,12.15650,-15.86714,0.00010,35.05180,5.18459,1.00000,11.43855,-15.93822,1.00000,34.58663,0.00000,0.20788,0.00000,0.97815,0.00000,-0.32494,0.00000,0.94573,0.7943818,0.4705678,1,0,34.35476,36.66335,41.82504,41.82504,0.1379073,0.5463989
8,20,90,0,7.470284,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-3.86647,0.00010,10.89633,-11.12314,0.00010,38.19808,-4.30415,1.00000,7.94334,-25.01666,1.00000,47.04198,0.00000,-0.46255,0.00000,0.88659,0.00000,-0.05196,0.00000,0.99865,2.985256,16.4695,0,0,42.6108,44.53930,0.00000,50.53105,0.1584601,0.5642332
9,20,90,0,0.15,0.00048514,1.00000000,-0.23672190,0.00000000,-0.00423496,0.00000000,0.99999110,3.57757,0.00010,8.47090,6.25326,0.00010,30.13247,4.27787,1.00000,10.89281,14.51893,1.00000,44.73076,0.00000,0.16882,0.00000,0.98565,0.00000,-0.09907,0.00000,0.99508,2.521132,16.77591,0,0,51.37943,54.03379,0.00000,59.45483,0.1007437,0.4625313
10,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00866635,0.00000000,0.99996240,-0.34112,0.00010,12.22542,-3.27282,0.00010,31.46293,-0.88995,1.00000,9.14811,-4.07983,1.00000,39.15105,0.00000,-0.10469,0.00000,0.99450,0.00000,-0.04557,0.00000,0.99896,3.125876,7.730363,0,0,60.10645,61.94985,0.00000,66.75359,0.2439756,0.5338787
11,20,90,0,0.075,0.00000000,1.00000000,-1.00888100,0.00000000,0.00000000,0.00000000,1.00000000,-1.77884,0.00010,5.64335,-1.82875,0.00010,26.81535,-2.23472,1.00000,6.22792,-4.70982,1.00000,28.27575,0.00000,-0.29329,0.00000,0.95602,0.00000,-0.05716,0.00000,0.99837,0.7413095,3.230063,1,0,67.3382,68.74361,72.40336,72.40337,0.3279345,0.4172109
