n,max_v,max_w,ffv,onDuration,PosX0,PosY0,PosZ0,RotX0,RotY0,RotZ0,RotW0,ffX0,ffY0,ffZ0,ffX1,ffY1,ffZ1,pCheckX0,pCheckY0,pCheckZ0,pCheckX1,pCheckY1,pCheckZ1,rCheckX0,rCheckY0,rCheckZ0,rCheckW0,rCheckX1,rCheckY1,rCheckZ1,rCheckW1,distToFF0,distToFF1,rewarded,timeout,beginTime,checkTime0,checkTime1,endTime,checkWait,interWait
1,20,90,0,2.512113,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,6.47356,0.00010,11.14719,17.55264,0.00010,29.04315,6.35234,1.00000,11.91263,18.99774,1.00000,29.74340,0.00000,0.45824,0.00000,0.88883,0.00000,0.01712,0.00000,0.99985,0.7749704,1.605813,1,0,0.3226478,1.54619,2.85257,2.852582,0.2293006,0.5660049
2,20,90,0,2.529934,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-0.04006,0.00010,7.83781,3.74866,0.00010,17.87834,0.00009,1.00000,7.16265,4.31017,1.00000,19.34936,0.00000,0.00043,0.00000,1.00000,0.00000,0.38050,0.00000,0.92478,0.6763457,1.574545,1,0,3.413872,4.27079,5.22817,5.228174,0.3134568,0.4224489
3,20,90,0,0.15,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,3.57214,0.00010,6.33257,-12.11755,0.00010,24.33454,0.91932,1.00000,7.30309,-10.82976,1.00000,24.70822,0.00000,0.12028,0.00000,0.99274,0.00000,-0.54896,0.00000,0.83585,2.824777,1.340912,1,0,5.591244,6.48994,7.70897,7.708975,0.2521748,0.5456451
4,20,90,0,2.099878,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,2.85899,0.00010,11.49986,6.65281,0.00010,23.36466,2.33752,1.00000,11.97207,6.79919,1.00000,22.99726,0.00000,0.18319,0.00000,0.98308,0.00000,0.19402,0.00000,0.98100,0.7034984,0.3954897,1,0,8.189042,9.24116,10.05715,10.05717,0.2465578,0.5634955
5,20,90,0,2.117731,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,2.43628,0.00010,6.96410,-9.89353,0.00010,32.32269,0.66458,1.00000,7.45180,-6.38732,1.00000,30.37739,0.00000,0.08016,0.00000,0.99678,0.00000,-0.47182,0.00000,0.88170,1.837595,4.009696,1,0,10.53071,11.38388,12.84745,12.84746,0.2764705,0.4504289
6,20,90,0,1.84874,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,4.81041,0.00010,9.92510,15.84134,0.00010,22.93914,1.96844,1.00000,7.84378,16.76888,1.00000,14.62866,0.00000,0.26117,0.00000,0.96529,0.00000,0.70994,0.00000,0.70426,3.522593,8.362085,0,0,13.21661,14.11256,0.00000,15.19629,0.2100269,0.4270509
7,20,90,0,1.868124,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,2.48486,0.00010,12.01259,-16.48895,0.00010,24.31502,0.52752,1.00000,8.36008,-14.21897,1.00000,23.74064,0.00000,0.06939,0.00000,0.99759,0.00000,-0.70926,0.00000,0.70495,4.143913,2.341527,1,0,15.55298,16.51405,17.94532,17.94532,0.1357555,0.4359888
8,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-3.80544,0.00010,7.70923,15.87973,0.00010,26.34018,-0.27980,1.00000,5.06610,15.67998,1.00000,18.94598,0.00000,-0.05646,0.00000,0.99840,0.00000,0.68883,0.00000,0.72492,4.406386,7.396904,0,0,18.32133,19.19765,0.00000,20.47527,0.1563414,0.4730131
9,20,90,0,0.15,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,4.62978,0.00010,13.68117,16.83110,0.00010,28.46449,1.21893,1.00000,10.28052,18.85232,1.00000,22.43753,0.00000,0.13654,0.00000,0.99064,0.00000,0.70880,0.00000,0.70541,4.816469,6.356847,1,0,20.86806,21.88506,23.19924,23.19924,0.1894451,0.4423151
10,20,90,0,2.374363,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-2.77023,0.00010,12.86531,4.67535,0.00010,19.41589,-1.74971,1.00000,10.21794,5.38703,1.00000,28.23187,0.00000,-0.17680,0.00000,0.98425,0.00000,0.54086,0.00000,0.84111,2.837255,8.844664,0,0,23.57109,24.59759,0.00000,25.95662,0.1234009,0.440093
11,20,90,0,2.392341,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,3.05396,0.00010,8.43988,8.73530,0.00010,17.10846,0.95049,1.00000,6.35825,11.68277,1.00000,21.22921,0.00000,0.15397,0.00000,0.98808,0.00000,0.44319,0.00000,0.89643,2.959352,5.066378,1,0,26.32978,27.20307,28.36370,28.36371,0.1031232,0.4664192
12,20,90,0,0.15,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,7.18611,0.00010,10.67985,6.92134,0.00010,28.35921,3.16498,1.00000,10.23807,6.82644,1.00000,29.00639,0.00000,0.27165,0.00000,0.96240,0.00000,-0.16416,0.00000,0.98643,4.045329,0.6541016,1,0,28.76205,29.85164,31.04714,31.04714,0.1748965,0.4280286
13,20,90,0,0.15,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-3.36696,0.00010,12.53155,10.91832,0.00010,18.44804,-2.75090,1.00000,10.73559,9.05078,1.00000,17.39639,0.00000,-0.23825,0.00000,0.97120,0.00000,0.75063,0.00000,0.66072,1.898687,2.143287,1,0,31.41278,32.50362,34.18581,34.18582,0.3429735,0.5622588
14,20,90,0,0.15,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,5.29704,0.00010,12.46186,-2.59250,0.00010,33.08346,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,7.004973,25.90405,0,0,34.66516,0.00000,0.00000,35.42468,0.1729934,0.4640744
