n,max_v,max_w,ffv,onDuration,PosX0,PosY0,PosZ0,RotX0,RotY0,RotZ0,RotW0,ffX0,ffY0,ffZ0,ffX1,ffY1,ffZ1,pCheckX0,pCheckY0,pCheckZ0,pCheckX1,pCheckY1,pCheckZ1,rCheckX0,rCheckY0,rCheckZ0,rCheckW0,rCheckX1,rCheckY1,rCheckZ1,rCheckW1,distToFF0,distToFF1,rewarded,timeout,beginTime,checkTime0,checkTime1,endTime,checkWait,interWait
1,20,90,0,0.15,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.03713,0.00010,10.67851,13.12683,0.00010,26.90347,0.21084,1.00000,7.57129,9.31415,1.00000,20.05328,0.00000,0.02855,0.00000,0.99959,0.00000,0.58865,0.00000,0.80839,3.21521,7.839748,0,0,0.3270454,1.48227,0.00000,2.999763,0.1106022,0.5854861
2,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-5.16250,0.00010,12.16370,9.86068,0.00010,25.69091,-1.65631,1.00000,8.64832,4.41363,1.00000,24.70750,0.00000,-0.23198,0.00000,0.97272,0.00000,0.55910,0.00000,0.82910,4.965007,5.535103,1,0,3.931702,5.22920,7.34416,7.344167,0.1120119,0.5783456
3,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-5.77610,0.00010,11.89615,-11.91109,0.00010,17.69990,-2.39509,1.00000,9.11407,-10.74672,1.00000,16.40142,0.00000,-0.27650,0.00000,0.96101,0.00000,-0.55818,0.00000,0.82972,4.378493,1.744073,1,0,8.179375,9.47348,10.65182,10.65183,0.1763044,0.5532942
4,20,90,0,3.058077,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.54443,0.00010,10.74781,2.89540,0.00010,33.20422,1.85953,1.00000,9.71732,2.90231,1.00000,30.38363,0.00000,0.15909,0.00000,0.98726,0.00000,-0.11106,0.00000,0.99381,1.077584,2.8206,1,0,11.4494,12.72194,14.53950,14.53951,0.110371,0.478601
5,20,90,0,3.090111,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-0.75142,0.00010,11.00443,3.63433,0.00010,29.69621,0.01824,1.00000,10.40965,4.71020,1.00000,27.30304,0.00000,0.00267,0.00000,1.00000,0.00000,0.18313,0.00000,0.98309,0.9726961,2.623882,1,0,15.23529,16.53798,18.08792,18.08793,0.3633942,0.5488442
6,20,90,0,0.15,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-0.92610,0.00010,13.49665,-9.34336,0.00010,28.46430,-0.01264,1.00000,11.40164,-7.18669,1.00000,24.25237,0.00000,-0.00919,0.00000,0.99996,0.00000,-0.48456,0.00000,0.87476,2.285492,4.731976,1,0,18.87764,20.26652,21.74705,21.74706,0.362182,0.5271609
7,20,90,0,0.15,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,2.93742,0.00010,6.12156,-9.95369,0.00010,24.22442,1.19186,1.00000,5.32373,-9.22025,1.00000,23.96911,0.00000,0.22006,0.00000,0.97549,0.00000,-0.67381,0.00000,0.73891,1.919245,0.7766088,1,0,22.51202,23.63494,25.74717,25.74718,0.1055597,0.4332741
8,20,90,0,3.20358,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-3.15802,0.00010,13.22252,-13.77572,0.00010,26.17677,-0.96350,1.00000,11.54272,-10.28933,1.00000,21.17178,0.00000,-0.17779,0.00000,0.98407,0.00000,-0.57868,0.00000,0.81555,2.763634,6.099584,1,0,26.39555,27.79862,29.19756,29.19757,0.1672415,0.5268672
9,20,90,0,3.235157,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-2.56265,0.00010,12.66150,15.84503,0.00010,28.15760,-0.27350,1.00000,11.51140,14.24004,1.00000,25.80213,0.00000,-0.06566,0.00000,0.99784,0.00000,0.62255,0.00000,0.78258,2.561826,2.850305,1,0,29.94999,31.34109,33.35827,33.35829,0.1702578,0.4536328
10,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-0.18086,0.00010,9.50865,11.90112,0.00010,21.22779,0.00021,1.00000,8.61669,8.70039,1.00000,22.28226,0.00000,0.00087,0.00000,1.00000,0.00000,0.54616,0.00000,0.83768,0.9101507,3.36995,1,0,34.01907,35.12089,36.72424,36.72425,0.2277338,0.5844214
11,20,90,0,3.371503,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.43065,0.00010,10.81321,-10.55179,0.00010,25.84422,0.02051,1.00000,8.26718,-10.02609,1.00000,25.14072,0.00000,-0.00135,0.00000,1.00000,0.00000,-0.55806,0.00000,0.82980,2.578848,0.8782191,1,0,37.56138,38.71370,40.51561,40.51563,0.3405176,0.5673506
12,20,90,0,3.408302,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-3.41300,0.00010,9.76458,3.49520,0.00010,30.01228,-1.07735,1.00000,8.88660,4.26280,1.00000,28.66222,0.00000,-0.12559,0.00000,0.99208,0.00000,0.34246,0.00000,0.93953,2.495221,1.553022,1,0,41.32812,42.42649,44.34848,44.3485,0.20616,0.5873578
13,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,4.38813,0.00010,8.20543,-5.90285,0.00010,22.04715,0.35381,1.00000,7.73941,-6.01598,1.00000,22.18955,0.00000,0.11180,0.00000,0.99373,0.00000,-0.49718,0.00000,0.86765,4.061142,0.1818668,1,0,45.18598,46.22902,47.87333,47.87334,0.2384606,0.4908558
14,20,90,0,0.15,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,5.79408,0.00010,10.24877,-5.35481,0.00010,34.54559,2.97465,1.00000,10.06614,1.99866,1.00000,27.33581,0.00000,0.32388,0.00000,0.94610,0.00000,-0.39635,0.00000,0.91810,2.825338,10.29827,0,0,48.58665,49.93741,0.00000,51.58825,0.3697102,0.4377611
15,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-4.59616,0.00010,13.56227,12.40194,0.00010,31.20191,-1.40173,1.00000,10.80850,9.93252,1.00000,19.11964,0.00000,-0.13443,0.00000,0.99092,0.00000,0.77435,0.00000,0.63276,4.21753,12.33204,0,0,52.22126,53.56538,0.00000,55.62602,0.1029258,0.426989
16,20,90,0,2.6568,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-2.93573,0.00010,6.18705,-15.62731,0.00010,26.31077,-1.21687,1.00000,5.94522,-15.15076,1.00000,24.70067,0.00000,-0.21889,0.00000,0.97575,0.00000,-0.23743,0.00000,0.97140,1.73579,1.679134,1,0,56.26155,57.29660,59.37674,59.37674,0.1743971,0.4845937
17,20,90,0,2.687366,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-4.79912,0.00010,7.18914,-17.15715,0.00010,28.23394,-1.83914,1.00000,6.84338,-14.77554,1.00000,20.49348,0.00000,-0.26928,0.00000,0.96306,0.00000,-0.52272,0.00000,0.85251,2.980103,8.098566,0,0,60.10479,61.29882,0.00000,62.99791,0.2813407,0.4777031
18,20,90,0,0.15,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,5.07770,0.00010,11.25197,6.46139,0.00010,24.57820,4.46188,1.00000,10.70222,6.86725,1.00000,22.89876,0.00000,0.35807,0.00000,0.93370,0.00000,-0.17108,0.00000,0.98526,0.8255119,1.727785,1,0,63.7165,65.15609,66.43648,66.43649,0.2018496,0.4841603
19,20,90,0,0.15,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-1.78861,0.00010,10.22622,-1.30902,0.00010,20.27031,-1.35152,1.00000,9.53471,-2.27465,1.00000,22.82634,0.00000,-0.15467,0.00000,0.98797,0.00000,0.04764,0.00000,0.99886,0.8180603,2.73235,1,0,67.15775,68.32828,69.67251,69.67252,0.276237,0.4409537
20,20,90,0,3.082242,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-1.34203,0.00010,6.26977,-4.13037,0.00010,32.79531,-0.37914,1.00000,6.35064,-3.75137,1.00000,32.22672,0.00000,-0.06477,0.00000,0.99790,0.00000,-0.06405,0.00000,0.99795,0.9662773,0.6833315,1,0,70.33028,71.28040,73.37841,73.37843,0.1554253,0.589525
21,20,90,0,3.115192,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-3.11848,0.00010,7.19163,4.21207,0.00010,26.54269,-1.67614,1.00000,7.45885,-2.14141,1.00000,8.35169,0.00000,-0.24411,0.00000,0.96975,0.00000,-0.23151,0.00000,0.97283,1.46689,19.26861,0,0,74.24529,75.32929,0.00000,75.73154,0.2339671,0.434216
22,20,90,0,0.075,0.99824420,1.00000000,6.05084500,0.00000000,0.16574310,0.00000000,0.98616900,-3.11848,0.00010,7.19163,4.21207,0.00010,26.54269,5.33825,1.00000,14.74319,12.08528,1.00000,21.01885,0.00000,0.33196,0.00000,0.94329,0.00000,0.47332,0.00000,0.88089,3.40334,6.304363,1,0,76.39525,77.96379,78.89714,78.89716,0.1893685,0.4400553
23,20,90,0,2.688279,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,8.44943,0.00010,16.12276,17.48640,0.00010,24.27044,2.90821,1.00000,9.66489,-8.22307,1.00000,15.27990,0.00000,0.31867,0.00000,0.94787,0.00000,-0.83277,0.00000,0.55361,4.945544,9.820926,0,0,79.53415,80.87399,0.00000,83.75544,0.1245233,0.5728818
24,20,90,0,2.71999,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,7.47036,0.00010,11.57412,-14.70369,0.00010,22.65907,-0.01311,1.00000,9.52844,8.03493,1.00000,27.02764,0.00000,-0.00098,0.00000,1.00000,0.00000,0.39760,0.00000,0.91756,1.890277,2.148509,1,0,84.58757,85.70543,87.39132,87.39133,0.2268369,0.4658375
25,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-1.44746,0.00010,10.75961,9.33061,0.00010,28.74150,-5.15438,1.00000,12.87455,-9.84381,1.00000,17.58370,0.00000,-0.35343,0.00000,0.93546,0.00000,-0.41455,0.00000,0.91003,1.069538,0.8387613,1,0,88.07516,89.61427,90.40931,90.40932,0.1646176,0.4157683
26,20,90,0,3.014836,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-4.73913,0.00010,13.86019,-9.36083,0.00010,18.26945,4.68201,1.00000,12.01515,6.99253,1.00000,24.83020,0.00000,0.34157,0.00000,0.93986,0.00000,-0.16926,0.00000,0.98557,1.568804,3.311931,1,0,91.01123,92.53438,93.84772,93.84772,0.1077869,0.4231547
27,20,90,0,3.048149,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,5.87371,0.00010,13.03544,4.18701,0.00010,26.59029,0.02985,1.00000,11.12327,-2.01548,1.00000,19.20897,0.00000,0.00148,0.00000,1.00000,0.00000,-0.23561,0.00000,0.97185,2.535815,0.9918534,1,0,94.4699,95.89848,96.71108,96.71114,0.1344159,0.5497836
28,20,90,0,1.455251,0.00000000,1.00000000,0.10488110,0.00000000,0.00000000,0.00000000,1.00000000,1.33908,0.00010,13.29497,-2.23367,0.00010,20.17653,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,11.06803,10.91402,0,0,97.51661,0.00000,0.00000,100.2871,0.1289338,0.4978338
29,20,90,0,1.486244,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,3.74572,0.00010,11.73723,12.38901,0.00010,30.97127,-0.02362,1.00000,6.01431,-7.28462,1.00000,19.22028,0.00000,-0.00330,0.00000,0.99999,0.00000,-0.51242,0.00000,0.85873,2.02105,0.8775526,1,0,101.0196,102.05620,103.47530,103.4753,0.1491671,0.6019778
30,20,90,0,0.15,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.11385,0.00010,8.03068,-7.49157,0.00010,20.07308,1.78070,1.00000,8.48271,1.33678,1.00000,21.81182,0.00000,0.24538,0.00000,0.96943,0.00000,-0.24090,0.00000,0.97055,4.619259,8.686626,0,0,104.3423,105.46370,0.00000,106.8154,0.1112254,0.5329524
