n,max_v,max_w,ffv,onDuration,PosX0,PosY0,PosZ0,RotX0,RotY0,RotZ0,RotW0,ffX0,ffY0,ffZ0,ffX1,ffY1,ffZ1,pCheckX0,pCheckY0,pCheckZ0,pCheckX1,pCheckY1,pCheckZ1,rCheckX0,rCheckY0,rCheckZ0,rCheckW0,rCheckX1,rCheckY1,rCheckZ1,rCheckW1,distToFF0,distToFF1,rewarded,timeout,beginTime,checkTime0,checkTime1,endTime,checkWait,interWait
1,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-0.14090,0.00010,9.63334,11.83123,0.00010,23.94451,-0.00022,1.00000,6.44238,5.80913,1.00000,17.25102,0.00000,0.00165,0.00000,1.00000,0.00000,0.49263,0.00000,0.87024,3.194063,9.003803,0,0,0.3195362,1.86089,0.00000,3.115776,0.1668247,0.4550315
2,20,90,0,0.15,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-1.96612,0.00010,8.01913,5.13022,0.00010,24.33514,-0.74664,1.00000,6.74531,6.39820,1.00000,20.67077,0.00000,-0.09248,0.00000,0.99571,0.00000,0.36456,0.00000,0.93118,1.763448,3.87755,1,0,3.679638,4.88725,6.34924,6.349253,0.347585,0.5605609
3,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-2.31823,0.00010,7.52597,9.43245,0.00010,17.13552,-0.44905,1.00000,6.43308,6.48643,1.00000,13.16630,0.00000,-0.06426,0.00000,0.99793,0.00000,0.61620,0.00000,0.78759,2.165235,4.943042,1,0,6.960112,8.30744,9.84631,9.846319,0.2214176,0.4115354
4,20,90,0,4.924786,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.63984,0.00010,9.89701,-1.57533,0.00010,30.70675,0.00673,1.00000,8.60739,-2.28821,1.00000,31.62543,0.00000,0.00146,0.00000,1.00000,0.00000,-0.06953,0.00000,0.99758,1.436644,1.162832,1,0,10.4322,13.52220,15.37498,15.37499,0.2312843,0.5244453
5,20,90,0,4.942795,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,2.59762,0.00010,11.04809,-9.24760,0.00010,33.31679,0.58956,1.00000,7.92468,-7.79964,1.00000,34.67387,0.00000,0.10930,0.00000,0.99401,0.00000,-0.21180,0.00000,0.97731,3.713218,1.984508,1,0,16.1492,17.27582,19.40780,19.40781,0.1016372,0.4411095
6,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-1.20533,0.00010,10.00138,2.51290,0.00010,20.88641,-0.46032,1.00000,10.20673,1.89234,1.00000,17.42054,0.00000,-0.00102,0.00000,1.00000,0.00000,0.31401,0.00000,0.94942,0.7727952,3.520984,1,0,19.89115,21.35983,22.24981,22.24981,0.1695979,0.4944056
7,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,3.52542,0.00010,13.21214,-0.85360,0.00010,27.08654,2.35482,1.00000,9.64710,2.43758,1.00000,23.57410,0.00000,0.24049,0.00000,0.97065,0.00000,-0.13714,0.00000,0.99055,3.752305,4.81343,1,0,23.01501,24.27419,25.74832,25.74833,0.1418017,0.4399343
8,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.90691,0.00010,13.36758,-17.02335,0.00010,30.84762,0.29803,1.00000,7.95733,-13.73633,1.00000,27.59601,0.00000,0.03412,0.00000,0.99942,0.00000,-0.49023,0.00000,0.87159,5.444401,4.623583,1,0,26.46628,27.68271,29.88186,29.88187,0.1285205,0.4384781
9,20,90,0,0.15,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-0.50671,0.00010,9.43830,-8.21867,0.00010,35.37068,0.09918,1.00000,9.61390,-4.89006,1.00000,35.88512,0.00000,-0.03437,0.00000,0.99941,0.00000,-0.00293,0.00000,1.00000,0.630827,3.368134,1,0,30.48171,32.08688,33.99957,33.99959,0.3643571,0.5484346
10,20,90,0,0.15,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.16987,0.00010,14.68181,-3.26706,0.00010,36.75497,0.00000,1.00000,15.01148,-5.51890,1.00000,42.00159,0.00000,0.00000,0.00000,1.00000,0.00000,-0.15565,0.00000,0.98781,1.215431,5.709452,1,0,34.60638,36.09004,38.30152,38.30153,0.1114338,0.4840904
